682,45
614,51
636,51
641,74
952,66
952,66
952,66
292,231
292,231
266,233
266,233
266,233
266,233
242,234
242,234
242,234
242,234
229,234
229,234
229,234
229,234
222,234
222,234
222,234
222,234
-1,140
365,75
278,180
304,155
367,138
385,125
264,211
284,197
383,175
384,178
333,196
444,174
480,154
510,144
468,150
504,137
468,150
509,133
369,178
369,178
369,178
369,178
369,178
365,177
372,187
378,180
391,181
391,181
368,205
376,198
368,192
368,192
362,232
516,91
388,223
384,141
386,272
386,272
491,165
491,165
390,302
390,302
346,295
346,295
427,319
427,319
363,307
363,307
427,320
401,308
430,186
435,174
424,291
415,332
415,332
414,357
404,290
408,262
418,249
407,269
410,268
416,243
416,243
402,271
380,278
380,278
380,296
395,279
424,282
401,286
424,282
401,286
407,295
420,262
420,296
420,262
415,264
415,258
417,256
415,258
434,247
392,315
388,278
413,245
413,245
431,232
349,318
414,273
414,273
414,273
465,235
471,194
480,216
480,195
399,300
406,298
399,300
406,298
446,237
446,237
446,237
446,237
574,138
574,138
518,171
507,241
497,274
508,277
460,282
521,230
670,307
631,287
625,203
625,203
666,254
691,319
622,268
622,268
655,322
671,316
684,317
707,257
720,255
701,253
677,193
638,324
638,324
688,297
654,307
654,307
587,326
637,295
549,279
556,254
563,245
563,245
748,175
720,212
710,256
752,233
744,219
761,266
738,327
753,376
816,339
749,292
802,343
792,392
826,314
775,311
805,301
767,298
812,360
866,372
896,319
946,396
753,297
775,314
792,317
792,317
912,363
971,423
975,437
975,437
946,365
1022,449
1023,471
1023,471
1064,449
998,422
1035,481
984,405
1024,421
964,387
1084,444
1075,418
1039,415
1025,389
969,341
1022,403
1048,416
1065,431
1064,449
1075,484
1087,457
1046,413
1030,405
1056,418
1056,418
1056,418
973,362
973,362
992,371
1006,416
1049,405
1049,405
1048,419
1048,419
1016,405
1016,405
1031,400
991,384
1006,389
1006,389
1004,390
1004,390
1051,430
1051,430
1063,414
1049,429
1030,459
1030,435
973,362
1069,431
1069,431
998,378
1008,390
985,375
998,364
983,354
983,354
1027,366
1027,366
1016,362
990,325
1040,364
988,324
1019,343
1019,343
987,335
987,335
967,312
987,335
630,41
630,41
643,42
643,42
610,40
610,40
610,40
610,40
610,40
998,318
1020,326
1020,326
1020,326
1057,345
1074,350
1057,345
1024,322
1004,329
1004,329
1024,338
1004,329
1019,323
998,317
1010,322
998,317
1068,375
1081,384
1081,384
1081,384
1057,352
1040,343
1036,353
1050,370
1019,329
1019,329
1004,321
1040,350
1065,377
1020,359
1020,359
1020,359
1020,359
1116,413
1116,413
1116,413
1116,413
1232,486
1161,428
1153,441
1153,441
1195,481
1195,481
1195,481
1195,481
1168,481
1168,481
1168,481
1200,472
1181,463
1200,472
1200,472
1200,472
1200,472
1127,431
1127,431
1127,431
1127,431
1178,472
1178,472
1143,456
1159,463
1159,463
1159,463
1150,447
1129,436
1129,436
1110,417
1167,463
1167,463
1164,461
1099,412
1010,353
988,328
1111,410
1111,410
1073,387
1107,399
1048,360
598,39
606,39
606,39
586,38
583,38
587,38
583,38
584,38
584,38
584,38
584,38
583,38
583,38
583,38
583,38
583,38
604,39
604,39
604,39
605,39
605,39
613,40
608,40
608,40
587,38
591,38
591,38
591,38
578,38
598,39
598,39
598,39
598,39
598,39
589,38
589,38
603,39
